org:group,resource country,organization country,resource,org:role,activity,impact,product,timestamp,case
Org line A2,Sweden,se,Henrik,A2_2,Accepted,Medium,PROD48,2010/3/2 13:07:11,1-354090772
Org line A2,POLAND,se,Ewa,A2_2,Accepted,Medium,PROD48,2010/3/2 13:07:48,1-354090772
Org line A2,POLAND,se,Ewa,A2_2,Accepted,Medium,PROD48,2010/3/2 13:11:18,1-354090772
Org line A2,POLAND,se,Katarzyna,A2_2,Accepted,Medium,PROD48,2011/4/11 6:48:47,1-354090772
Org line A2,POLAND,se,Damian,A2_2,Accepted,Medium,PROD48,2011/4/11 7:08:44,1-354090772
Org line A2,POLAND,se,Damian,A2_2,Accepted,Medium,PROD48,2011/11/23 10:55:49,1-354090772
Org line A2,POLAND,se,Damian,A2_2,Completed,Medium,PROD48,2012/1/19 7:56:20,1-354090772
Org line C,Sweden,se,Niclas,C_5,Accepted,Major,PROD597,2012/4/29 8:41:28,1-735881798
Org line C,Sweden,se,Niclas,C_5,Accepted,Major,PROD597,2012/4/29 8:42:46,1-735881798
Org line C,Sweden,se,Victoria,C_5,Accepted,Major,PROD597,2012/5/23 11:18:57,1-735881798
Org line C,Sweden,se,Niclas,C_5,Accepted,Major,PROD597,2012/5/23 11:20:38,1-735881798
Org line C,Sweden,se,Niclas,C_5,Completed,Major,PROD597,2012/5/23 11:21:04,1-735881798
Org line G3,USA,us,Carolyn,C_5,Accepted,Medium,PROD96,2010/6/1 10:19:11,1-377083756
Org line G3,USA,us,Carolyn,C_5,Queued,Medium,PROD96,2010/6/1 10:34:03,1-377083756
Org line G3,Sweden,us,Kannan,C_5,Accepted,Medium,PROD96,2010/6/1 15:19:00,1-377083756
Org line G3,USA,us,Carolyn,C_5,Accepted,Medium,PROD96,2010/6/1 15:19:04,1-377083756
Org line A2,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD96,2010/6/11 17:35:32,1-377083756
Org line A2,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD96,2010/6/11 17:38:36,1-377083756
Org line A2,Sweden,us,Pontus,A2_2,Accepted,Medium,PROD96,2010/6/14 15:29:35,1-377083756
Org line G3,USA,us,Carolyn,A2_2,Queued,Medium,PROD96,2010/6/15 15:40:03,1-377083756
Org line A2,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD96,2010/6/15 18:06:31,1-377083756
Org line G3,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD96,2010/6/15 18:08:29,1-377083756
Org line G3,USA,us,Carolyn,A2_2,Accepted,Medium,PROD96,2010/6/15 18:08:34,1-377083756
Org line G3,POLAND,us,Ewa,A2_2,Accepted,Medium,PROD96,2012/2/2 21:50:43,1-377083756
Org line G3,POLAND,us,Ewa,A2_2,Completed,Medium,PROD96,2012/2/2 21:51:53,1-377083756
Org line A2,POLAND,kr,Piotr,D_1,Accepted,Medium,PROD604,2011/4/28 14:29:42,1-521628291
Org line A2,POLAND,kr,Piotr,D_1,Completed,Medium,PROD604,2012/5/29 15:02:34,1-521628291
Org line G3,USA,us,Carolyn,D_1,Accepted,Medium,PROD98,2010/9/20 12:15:00,1-403006315
Org line G3,USA,us,Carolyn,D_1,Queued,Medium,PROD98,2010/9/20 12:24:14,1-403006315
Org line G3,Sweden,us,Kannan,D_1,Accepted,Medium,PROD98,2010/9/20 12:42:52,1-403006315
Org line G3,USA,us,Carolyn,D_1,Accepted,Medium,PROD98,2010/9/20 12:42:58,1-403006315
Org line A2,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD98,2010/9/23 18:38:14,1-403006315
Org line A2,Sweden,us,Y,A2_2,Accepted,Medium,PROD98,2010/9/23 18:38:22,1-403006315
Org line A2,Sweden,us,Y,A2_2,Accepted,Medium,PROD98,2010/9/24 7:53:49,1-403006315
Org line G3,USA,us,Carolyn,A2_2,Queued,Medium,PROD98,2010/9/24 8:50:48,1-403006315
Org line G3,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD98,2010/9/24 16:28:46,1-403006315
Org line G3,USA,us,Carolyn,A2_2,Accepted,Medium,PROD98,2010/9/24 16:28:56,1-403006315
Org line G3,POLAND,us,Ewa,A2_2,Accepted,Medium,PROD98,2012/1/31 8:54:38,1-403006315
Org line G3,POLAND,us,Ewa,A2_2,Completed,Medium,PROD98,2012/1/31 8:59:04,1-403006315
Org line C,Sweden,se,Maria,E_7,Queued,High,PROD153,2010/6/4 15:58:40,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/6/22 9:37:32,1-378050311
Org line C,Belgium,se,Christophe,E_7,Accepted,High,PROD153,2010/6/22 11:51:32,1-378050311
Org line C,Sweden,se,Bo,E_7,Accepted,High,PROD153,2010/6/24 10:17:47,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/7/9 9:03:29,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/7/9 9:05:10,1-378050311
Org line C,Sweden,se,Maria,E_7,Queued,High,PROD153,2010/11/7 13:44:39,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/11/8 12:35:26,1-378050311
Org line C,Sweden,se,Mattias,C_4,Queued,High,PROD153,2010/11/8 12:36:40,1-378050311
Org line C,Sweden,se,Per,C_4,Accepted,High,PROD153,2010/11/24 10:06:02,1-378050311
Org line C,Sweden,se,Per,C_4,Completed,High,PROD153,2010/11/24 12:46:08,1-378050311
Org line C,Sweden,se,Per,C_4,Accepted,High,PROD153,2010/11/24 15:23:23,1-378050311
Org line C,Sweden,se,Per,C_4,Completed,High,PROD153,2010/11/24 15:34:47,1-378050311
Org line C,Sweden,se,Per,C_4,Accepted,High,PROD153,2010/11/24 15:36:35,1-378050311
Org line F,Sweden,se,Craig,C_4,Queued,High,PROD153,2011/11/30 12:59:57,1-378050311
Org line F,Sweden,se,Stefan,C_4,Accepted,High,PROD153,2012/2/27 7:12:23,1-378050311
Org line F,Sweden,se,Stefan,C_4,Completed,High,PROD153,2012/2/27 7:13:44,1-378050311
Org line A2,Sweden,se,Lisbeth,A2_5,Accepted,Medium,PROD320,2012/4/2 13:07:23,1-707053152
Org line A2,Sweden,se,Lisbeth,A2_5,Completed,Medium,PROD320,2012/5/7 7:18:00,1-707053152
Org line A2,Sweden,se,Pär,A2_5,Accepted,Medium,PROD320,2011/12/14 8:45:16,1-623354971
Org line A2,Sweden,se,Pär,A2_5,Accepted,Medium,PROD320,2011/12/14 8:51:17,1-623354971
Org line A2,Sweden,se,Lisbeth,A2_5,Accepted,Medium,PROD320,2012/4/17 8:16:34,1-623354971
Org line A2,Sweden,se,Lisbeth,A2_5,Completed,Medium,PROD320,2012/4/17 8:16:37,1-623354971
Org line A2,POLAND,pl,Miroslawa,A2_3,Accepted,Medium,PROD791,2011/11/9 10:41:22,1-605184371
Org line A2,POLAND,pl,Miroslawa,A2_3,Accepted,Medium,PROD791,2011/12/9 11:47:46,1-605184371
Org line A2,POLAND,pl,Miroslawa,A2_3,Accepted,Medium,PROD791,2011/12/9 14:06:20,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Accepted,Medium,PROD791,2012/1/13 9:16:22,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Accepted,Medium,PROD791,2012/1/20 5:55:08,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Accepted,Medium,PROD791,2012/2/1 11:45:27,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Completed,Medium,PROD791,2012/4/13 9:10:39,1-605184371
Org line C,France,fr,Nicolas,C_6,Accepted,High,PROD804,2011/10/18 14:37:21,1-589421537
Org line C,France,fr,Nicolas,C_6,Completed,High,PROD804,2012/3/30 10:43:20,1-589421537
Org line G3,USA,us,Carolyn,C_6,Accepted,Medium,PROD97,2011/9/14 12:43:55,1-574162627
Org line G3,USA,us,Carolyn,C_6,Queued,Medium,PROD97,2011/9/14 12:52:25,1-574162627
Org line G3,Sweden,us,SV,C_6,Accepted,Medium,PROD97,2011/9/14 12:56:17,1-574162627
Org line G3,USA,us,Carolyn,C_6,Accepted,Medium,PROD97,2011/9/14 12:56:27,1-574162627
Org line G3,POLAND,us,Ewa,C_6,Accepted,Medium,PROD97,2012/1/31 7:55:09,1-574162627
Org line G3,POLAND,us,Ewa,C_6,Completed,Medium,PROD97,2012/1/31 7:56:57,1-574162627
Org line C,Sweden,in,Jonas,E_8,Accepted,Medium,PROD476,2011/8/23 7:55:53,1-560504546
Org line C,Sweden,in,Jonas,E_8,Queued,Medium,PROD476,2011/8/23 8:03:21,1-560504546
Org line C,INDIA,in,Karthick,E_8,Accepted,Medium,PROD476,2011/10/18 12:42:02,1-560504546
Org line C,INDIA,in,Karthick,E_8,Accepted,Medium,PROD476,2011/10/18 12:42:10,1-560504546
Org line C,INDIA,in,Venkata,E_8,Accepted,Medium,PROD476,2011/10/18 12:47:41,1-560504546
Org line C,INDIA,in,Venkata,E_8,Accepted,Medium,PROD476,2011/11/23 19:51:48,1-560504546
Org line C,Sweden,in,Venkata,E_8,Accepted,Medium,PROD476,2011/12/13 12:17:37,1-560504546
Org line C,Sweden,in,Venkata,E_8,Completed,Medium,PROD476,2012/1/18 10:57:12,1-560504546
Org line G3,POLAND,us,Ewa,E_4,Accepted,High,PROD97,2012/5/13 15:54:39,1-744436853
Org line G3,POLAND,us,Ewa,E_4,Completed,High,PROD97,2012/5/13 16:01:55,1-744436853
Org line G4,Sweden,se,Roland,A2_4,Accepted,Medium,PROD374,2012/3/8 9:24:42,1-694794065
Org line G4,Sweden,se,Roland,A2_4,Accepted,Medium,PROD374,2012/3/8 9:26:18,1-694794065
Org line G4,Sweden,se,Roland,A2_4,Accepted,Medium,PROD374,2012/3/8 11:37:47,1-694794065
Org line G4,Sweden,se,Roland,A2_4,Completed,Medium,PROD374,2012/3/22 13:27:32,1-694794065
Org line G4,Sweden,se,Rickard,A2_4,Accepted,Low,PROD448,2011/11/15 13:15:57,1-607840637
Org line G4,Sweden,se,Rickard,A2_4,Completed,Low,PROD448,2012/1/27 12:46:02,1-607840637
Org line C,Sweden,be,Jon,E_1,Accepted,Low,PROD715,2012/3/26 2:39:33,1-702103380
Org line C,Sweden,be,Jon,E_1,Accepted,Low,PROD715,2012/3/26 2:45:45,1-702103380
Org line C,Sweden,be,Jon,E_1,Completed,Low,PROD715,2012/3/26 2:45:53,1-702103380
Org line A2,France,fr,Veronique,A2_5,Accepted,High,PROD230,2011/6/21 8:47:26,1-535393553
Org line A2,France,fr,Veronique,A2_5,Completed,High,PROD230,2012/1/12 10:45:27,1-535393553
Org line G4,Sweden,se,Mikael,A2_5,Accepted,High,PROD374,2012/1/7 10:40:01,1-636501102
Org line G4,Sweden,se,Mikael,A2_5,Completed,High,PROD374,2012/1/30 17:01:01,1-636501102
Org line A2,Sweden,se,Akanksha,A2_2,Accepted,Low,PROD215,2012/3/7 10:43:04,1-694354058
Org line A2,Sweden,se,Akanksha,A2_2,Queued,Low,PROD215,2012/3/7 10:56:18,1-694354058
Org line C,Sweden,se,Gunnar,C_1,Queued,Low,PROD215,2012/3/9 10:11:37,1-694354058
Org line C,Sweden,se,Gunnar,C_1,Accepted,Low,PROD215,2012/3/20 9:16:42,1-694354058
Org line C,Sweden,se,Gunnar,C_1,Completed,Low,PROD215,2012/3/20 10:16:46,1-694354058
Org line C,Sweden,se,Leif,E_10,Accepted,High,PROD646,2012/2/9 15:36:08,1-663851111
Org line C,Sweden,se,Leif,E_10,Completed,High,PROD646,2012/3/1 9:40:26,1-663851111
Org line G4,Sweden,se,Daniel,E_10,Accepted,Medium,PROD410,2010/3/3 18:25:03,1-358038911
Org line G4,Sweden,se,Daniel,E_10,Unmatched,Medium,PROD410,2010/3/11 14:44:02,1-358038911
Org line G4,Sweden,se,Daniel,E_10,Accepted,Medium,PROD410,2010/8/16 9:54:31,1-358038911
Org line G4,Sweden,se,Daniel,E_10,Accepted,Medium,PROD410,2010/8/16 10:13:10,1-358038911
Org line G4,Sweden,se,Helene,E_10,Accepted,Medium,PROD410,2012/1/17 6:59:31,1-358038911
Org line G4,Sweden,se,Helene,E_10,Completed,Medium,PROD410,2012/1/17 6:59:59,1-358038911
Org line C,Sweden,se,Ann-Charlotte,E_10,Accepted,Medium,PROD104,2011/11/2 9:38:33,1-600506847
Org line C,Sweden,se,Ann-Charlotte,E_10,Queued,Medium,PROD104,2011/11/2 9:49:55,1-600506847
Org line C,Sweden,se,Anders,E_10,Accepted,Medium,PROD104,2011/11/16 8:54:15,1-600506847
Org line C,Sweden,se,Peter,E_10,Queued,Medium,PROD104,2011/11/16 9:49:09,1-600506847
Org line C,Sweden,se,Mica,C_6,Queued,Medium,PROD104,2011/11/16 9:54:37,1-600506847
Org line C,Sweden,se,Mica,C_6,Accepted,Medium,PROD104,2011/11/17 6:43:46,1-600506847
Org line C,Sweden,se,Mårten,C_6,Accepted,Medium,PROD104,2011/11/17 8:13:49,1-600506847
Org line C,Sweden,se,Peter,E_10,Queued,Medium,PROD104,2011/11/17 8:17:35,1-600506847
Org line C,Sweden,se,Magnus,E_10,Accepted,Medium,PROD104,2011/11/17 8:18:13,1-600506847
Org line C,Sweden,se,Mica,C_6,Queued,Medium,PROD104,2011/11/17 13:29:20,1-600506847
Org line C,Sweden,se,Erik,C_6,Accepted,Medium,PROD104,2011/11/17 13:46:54,1-600506847
Org line C,Sweden,se,Vikingur,C_6,Accepted,Medium,PROD104,2011/11/23 8:06:21,1-600506847
Org line C,Sweden,se,Mica,C_6,Queued,Medium,PROD104,2011/12/6 13:41:54,1-600506847
Org line C,Sweden,se,Vikingur,C_6,Accepted,Medium,PROD104,2011/12/6 13:42:41,1-600506847
Org line C,Sweden,se,Vikingur,C_6,Completed,Medium,PROD104,2012/1/27 13:40:19,1-600506847
Org line F,Sweden,us,Craig,C_6,Queued,High,PROD437,2012/2/1 18:48:25,1-657412381
Org line F,Sweden,us,Stefan,C_6,Accepted,High,PROD437,2012/2/2 8:11:04,1-657412381
Org line F,Sweden,us,Stefan,C_6,Completed,High,PROD437,2012/2/8 7:07:31,1-657412381
Org line C,USA,us,Kymaria,V3_3,Accepted,High,PROD437,2012/3/22 18:24:25,1-657412381
Org line C,USA,us,Kymaria,V3_3,Completed,High,PROD437,2012/3/28 13:29:10,1-657412381
Org line G3,USA,us,Carolyn,V3_3,Accepted,Medium,PROD98,2011/5/31 11:20:07,1-530147896
Org line G3,USA,us,Carolyn,V3_3,Queued,Medium,PROD98,2011/5/31 11:22:02,1-530147896
Org line G3,Sweden,us,Padmanabha,V3_3,Accepted,Medium,PROD98,2011/5/31 18:58:34,1-530147896
Org line G3,USA,us,Carolyn,V3_3,Accepted,Medium,PROD98,2011/5/31 18:58:40,1-530147896
Org line A2,Sweden,us,Hannes,A2_2,Queued,Medium,PROD98,2011/6/23 21:20:06,1-530147896
Org line A2,Sweden,us,Y,A2_2,Accepted,Medium,PROD98,2011/6/23 21:22:26,1-530147896
Org line G3,USA,us,Carolyn,A2_2,Queued,Medium,PROD98,2011/6/28 9:29:03,1-530147896
Org line G3,Sweden,us,Santhosh,A2_2,Accepted,Medium,PROD98,2011/6/29 2:21:19,1-530147896
Org line G3,USA,us,Carolyn,A2_2,Accepted,Medium,PROD98,2011/6/29 2:21:39,1-530147896
Org line G3,POLAND,us,Ewa,A2_2,Accepted,Medium,PROD98,2012/2/2 20:51:10,1-530147896
Org line G3,POLAND,us,Ewa,A2_2,Completed,Medium,PROD98,2012/2/2 20:52:46,1-530147896
Org line G3,USA,us,Carolyn,A2_2,Accepted,Medium,PROD96,2011/8/30 15:02:47,1-564528496
Org line G3,USA,us,Carolyn,A2_2,Queued,Medium,PROD96,2011/8/30 15:06:37,1-564528496
Org line G3,Sweden,us,Padmanabha,A2_2,Accepted,Medium,PROD96,2011/8/31 3:17:34,1-564528496
Org line G3,USA,us,Carolyn,A2_2,Accepted,Medium,PROD96,2011/8/31 3:17:43,1-564528496
Org line G3,POLAND,us,Ewa,A2_2,Accepted,Medium,PROD96,2012/2/6 16:10:21,1-564528496
Org line G3,POLAND,us,Ewa,A2_2,Completed,Medium,PROD96,2012/2/6 20:38:59,1-564528496
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD673,2012/2/13 7:03:37,1-669804759
Org line C,Sweden,se,Peter,E_7,Completed,High,PROD673,2012/4/1 15:50:09,1-669804759
Org line A2,POLAND,pl,Dawid,A2_3,Accepted,Medium,PROD791,2011/11/23 14:01:03,1-615224713
Org line A2,POLAND,pl,Dawid,A2_3,Completed,Medium,PROD791,2012/1/13 12:26:02,1-615224713
Org line C,INDIA,in,Vinay,E_8,Accepted,High,PROD597,2011/11/14 0:21:36,1-606724483
Org line C,INDIA,in,Vinay,E_8,Queued,High,PROD597,2011/11/14 0:25:05,1-606724483
Org line C,INDIA,in,Avishek,E_8,Accepted,High,PROD597,2011/12/19 14:56:47,1-606724483
Org line C,INDIA,in,Vinay,E_8,Accepted,High,PROD597,2012/2/17 9:18:34,1-606724483
Org line C,INDIA,in,Vinay,E_8,Completed,High,PROD597,2012/2/17 9:18:42,1-606724483
Org line G3,POLAND,us,Ewa,E_4,Accepted,High,PROD97,2012/3/14 7:56:34,1-697249225
Org line G3,POLAND,us,Ewa,E_4,Completed,High,PROD97,2012/3/14 8:04:50,1-697249225
Org line G4,Sweden,se,Peter,A2_1,Accepted,Low,PROD286,2011/8/11 7:59:12,1-548188833
Org line G4,Sweden,se,Peter,A2_1,Completed,Low,PROD286,2012/1/4 14:40:46,1-548188833
Org line C,Belgium,be,Peter,C_1,Accepted,Low,PROD394,2011/11/3 9:02:34,1-601433623
Org line C,Belgium,be,Peter,C_1,Completed,Low,PROD394,2012/1/12 10:06:35,1-601433623
Org line C,Sweden,se,Karl,E_7,Accepted,Medium,PROD671,2012/5/30 12:55:35,1-752134249
Org line C,Sweden,se,Karl,E_7,Completed,Medium,PROD671,2012/5/30 13:04:30,1-752134249
Org line C,Belgium,se,Steve,E_10,Accepted,Medium,PROD646,2012/3/12 11:47:22,1-696057890
Org line C,Belgium,se,Steve,E_10,Completed,Medium,PROD646,2012/4/25 12:06:39,1-696057890
Org line G3,POLAND,us,Ewa,E_10,Accepted,Medium,PROD97,2012/4/4 13:05:21,1-708833963
Org line G3,POLAND,us,Ewa,E_10,Completed,Medium,PROD97,2012/4/4 14:33:41,1-708833963
Org line C,INDIA,us,Prashant,E_4,Accepted,High,PROD793,2012/2/15 14:57:25,1-675685459
Org line C,INDIA,us,Prashant,E_4,Accepted,High,PROD793,2012/2/15 15:00:08,1-675685459
Org line C,INDIA,us,Prashant,E_4,Completed,High,PROD793,2012/2/27 11:44:46,1-675685459
Org line C,INDIA,us,Prashant,E_4,Accepted,High,PROD793,2012/3/7 7:20:08,1-675685459
Org line C,USA,us,Robert,E_4,Queued,High,PROD793,2012/3/7 7:22:21,1-675685459
Org line C,Sweden,us,Vaibhav,E_4,Accepted,High,PROD793,2012/3/12 18:20:37,1-675685459
Org line C,Sweden,us,Vaibhav,E_4,Completed,High,PROD793,2012/3/12 18:20:52,1-675685459
Org line G3,USA,us,Carolyn,E_7,Accepted,Medium,PROD97,2011/9/13 10:59:02,1-573655864
Org line G3,USA,us,Carolyn,E_7,Queued,Medium,PROD97,2011/9/13 11:03:04,1-573655864
Org line G3,Sweden,us,SV,E_7,Accepted,Medium,PROD97,2011/9/13 11:25:42,1-573655864
Org line G3,USA,us,Carolyn,E_7,Accepted,Medium,PROD97,2011/9/13 11:26:18,1-573655864
Org line G3,POLAND,us,Ewa,E_7,Accepted,Medium,PROD97,2012/1/30 12:57:57,1-573655864
Org line G3,POLAND,us,Ewa,E_7,Completed,Medium,PROD97,2012/1/30 13:25:19,1-573655864
Org line C,Sweden,se,Ingemar,E_9,Accepted,High,PROD277,2012/1/20 15:03:03,1-648807492
Org line C,Sweden,se,Ingemar,E_9,Completed,High,PROD277,2012/1/25 14:13:13,1-648807492
Org line C,Sweden,be,Karin,C_1,Accepted,Medium,PROD744,2012/4/18 8:38:50,1-722098557
Org line C,Sweden,be,Karin,C_1,Completed,Medium,PROD744,2012/5/4 11:01:00,1-722098557
Org line A2,POLAND,pl,Grzegorz,A2_3,Accepted,High,PROD791,2011/12/21 13:33:20,1-627532005
Org line A2,POLAND,pl,Grzegorz,A2_3,Accepted,High,PROD791,2011/12/21 13:33:49,1-627532005
Org line A2,POLAND,pl,Grzegorz,A2_3,Accepted,High,PROD791,2012/1/9 13:52:30,1-627532005
Org line A2,POLAND,pl,Grzegorz,A2_3,Completed,High,PROD791,2012/4/23 11:38:19,1-627532005
Org line A2,POLAND,kr,Piotr,D_1,Queued,Medium,PROD594,2011/11/15 20:22:20,1-608036754
Org line A2,POLAND,kr,Jacek,D_1,Queued,Medium,PROD594,2011/11/18 12:25:55,1-608036754
Org line A2,POLAND,kr,Jacek,D_1,Accepted,Medium,PROD594,2011/11/21 12:18:05,1-608036754
Org line A2,POLAND,kr,Jacek,D_1,Accepted,Medium,PROD594,2011/11/21 12:20:43,1-608036754
Org line A2,POLAND,kr,Justyna,D_1,Accepted,Medium,PROD594,2012/1/24 8:56:45,1-608036754
Org line A2,POLAND,kr,Justyna,D_1,Completed,Medium,PROD594,2012/2/13 9:17:51,1-608036754
Org line A2,Sweden,se,Agneta,A2_3,Accepted,Medium,PROD802,2011/10/18 14:07:28,1-589370341
Org line A2,Sweden,se,Agneta,A2_3,Accepted,Medium,PROD802,2011/10/18 14:07:50,1-589370341
Org line A2,Sweden,se,Agneta,A2_3,Queued,Medium,PROD802,2011/10/18 14:10:17,1-589370341
Org line A2,Sweden,se,Agneta,A2_3,Accepted,Medium,PROD802,2011/11/28 12:46:11,1-589370341
Org line A2,Sweden,se,Lars,A2_3,Accepted,Medium,PROD802,2011/12/12 9:22:13,1-589370341
Org line A2,Sweden,se,Stefan,A2_3,Accepted,Medium,PROD802,2012/2/6 14:32:02,1-589370341
Org line A2,Sweden,se,Stefan,A2_3,Completed,Medium,PROD802,2012/2/6 14:34:54,1-589370341
Org line C,INDIA,in,Kiran,E_8,Accepted,High,PROD597,2012/1/17 13:10:11,1-643468705
Org line C,INDIA,in,Kiran,E_8,Completed,High,PROD597,2012/1/17 13:14:18,1-643468705
Org line C,INDIA,in,Kiran,E_8,Accepted,High,PROD597,2012/2/2 15:50:24,1-643468705
Org line C,INDIA,in,Kiran,E_8,Completed,High,PROD597,2012/2/2 15:51:03,1-643468705
Org line C,Sweden,se,Edo,E_6,Accepted,High,PROD101,2010/11/2 12:25:54,1-415946366
Org line C,Sweden,se,Edo,E_6,Accepted,High,PROD101,2010/11/2 12:26:39,1-415946366
Org line C,Sweden,se,Henrik,E_6,Accepted,High,PROD101,2012/2/17 14:42:14,1-415946366
Org line C,Sweden,se,Henrik,E_6,Completed,High,PROD101,2012/2/17 14:42:16,1-415946366
Org line G4,Sweden,se,Gustav,E_6,Accepted,High,PROD412,2011/5/18 7:46:34,1-526647987
Org line G4,Sweden,se,Gustav,E_6,Accepted,High,PROD412,2012/2/21 14:20:44,1-526647987
Org line G4,Sweden,se,Gustav,E_6,Completed,High,PROD412,2012/2/21 14:20:52,1-526647987
Org line C,INDIA,us,Mahesh,E_8,Accepted,Low,PROD476,2012/2/16 8:51:25,1-678755621
Org line C,INDIA,us,Mahesh,E_8,Queued,Low,PROD476,2012/2/16 8:57:16,1-678755621
Org line C,INDIA,us,Pradeesh,E_8,Accepted,Low,PROD476,2012/2/27 10:01:03,1-678755621
Org line C,INDIA,us,Pradeesh,E_8,Accepted,Low,PROD476,2012/2/27 15:46:07,1-678755621
Org line C,USA,us,William,E_1,Queued,Low,PROD476,2012/3/16 15:56:40,1-678755621
Org line C,USA,us,William,E_1,Accepted,Low,PROD476,2012/3/28 13:28:21,1-678755621
Org line C,France,us,Julien,E_1,Accepted,Low,PROD476,2012/3/28 13:29:00,1-678755621
Org line C,France,us,Julien,E_1,Accepted,Low,PROD476,2012/5/9 13:35:16,1-678755621
Org line C,France,us,Julien,E_1,Completed,Low,PROD476,2012/5/29 11:01:32,1-678755621
Org line A2,Sweden,se,Jack,A2_1,Accepted,Major,PROD238,2012/5/7 12:22:07,1-741753047
Org line A2,Sweden,se,Jack,A2_1,Completed,Major,PROD238,2012/5/7 12:24:21,1-741753047
Org line F,Belgium,be,Marc,A2_1,Accepted,Major,PROD821,2012/1/19 9:31:05,1-647841758
Org line F,Belgium,be,Marc,A2_1,Completed,Major,PROD821,2012/1/19 9:36:41,1-647841758
