case,activity,timestamp,resource,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9
16,Take in charge ticket,2012/2/22 16:23:57,Value 1,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
16,Resolve ticket,2012/2/23 9:47:38,Value 9,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
16,Closed,2012/3/24 14:20:19,Value 5,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1733,Assign seriousness,2010/10/20 15:17:43,Value 2,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
1733,Take in charge ticket,2010/11/5 9:26:11,Value 2,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
1733,Resolve ticket,2010/11/5 10:24:31,Value 2,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
1733,Closed,2010/11/20 10:24:55,Value 5,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2468,Assign seriousness,2011/2/24 13:22:01,Value 8,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Take in charge ticket,2011/2/24 13:22:22,Value 8,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Wait,2011/2/24 14:23:16,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Take in charge ticket,2011/3/9 10:03:36,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Resolve ticket,2011/3/9 10:03:52,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Closed,2011/4/9 8:12:25,Value 5,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
113,Insert ticket,2010/5/6 15:51:48,Value 12,Value 1,Value 9,Value 3,Value 1,Value 3,Value 4,Value 1,Value 1,Value 1
113,Assign seriousness,2010/5/24 10:23:15,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
113,Take in charge ticket,2010/5/25 13:48:24,Value 12,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
113,Resolve ticket,2010/5/25 14:11:28,Value 12,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
113,Closed,2010/6/9 14:11:39,Value 5,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
3049,Assign seriousness,2011/5/23 14:06:55,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Take in charge ticket,2011/5/23 14:07:12,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Wait,2011/5/23 14:09:46,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Take in charge ticket,2011/5/23 15:39:55,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Resolve ticket,2011/5/23 15:40:05,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Take in charge ticket,2011/6/7 12:43:38,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Resolve ticket,2011/6/13 14:25:51,Value 15,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Closed,2011/6/28 14:26:14,Value 5,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3966,Assign seriousness,2011/3/8 15:24:32,Value 8,Value 1,Value 299,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
3966,Take in charge ticket,2011/3/8 15:24:56,Value 8,Value 1,Value 299,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
3966,Wait,2011/3/9 11:31:20,Value 2,Value 1,Value 299,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
3966,Take in charge ticket,2011/3/9 12:07:54,Value 2,Value 1,Value 299,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
3966,Resolve ticket,2011/3/9 12:08:03,Value 2,Value 1,Value 299,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
3966,Closed,2011/4/30 14:52:44,Value 5,Value 1,Value 299,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
2686,Take in charge ticket,2013/5/20 14:35:31,Value 14,Value 1,Value 32,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2686,Resolve ticket,2013/6/24 13:07:54,Value 2,Value 1,Value 32,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2686,Closed,2013/7/9 13:08:13,Value 3,Value 1,Value 32,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
4543,Assign seriousness,2011/1/11 10:42:26,Value 8,Value 1,Value 70,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4543,Take in charge ticket,2011/1/11 11:16:26,Value 2,Value 1,Value 70,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4543,Take in charge ticket,2011/1/11 11:16:56,Value 2,Value 1,Value 70,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4543,Take in charge ticket,2011/1/18 8:14:59,Value 2,Value 1,Value 70,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4543,Resolve ticket,2011/1/21 15:23:44,Value 8,Value 1,Value 70,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4543,Closed,2011/2/11 10:50:20,Value 5,Value 1,Value 70,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4142,Assign seriousness,2012/6/27 8:07:48,Value 1,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Take in charge ticket,2012/6/28 7:31:56,Value 1,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Wait,2012/7/2 7:03:25,Value 1,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Resolve ticket,2012/7/11 10:24:38,Value 2,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Closed,2012/8/10 12:30:34,Value 5,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
1351,Insert ticket,2010/6/10 7:24:28,Value 5,Value 1,Value 35,Value 3,Value 1,Value 3,Value 4,Value 2,Value 1,Value 2
1351,Assign seriousness,2010/6/10 11:14:25,Value 12,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
1351,Take in charge ticket,2010/6/17 12:41:37,Value 2,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
1351,Resolve ticket,2010/7/1 9:20:34,Value 12,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
1351,Closed,2010/7/31 9:21:01,Value 5,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
1974,Assign seriousness,2012/5/29 16:01:41,Value 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
1974,Take in charge ticket,2012/5/30 7:08:49,Value 6,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
1974,Resolve ticket,2012/5/30 8:15:17,Value 6,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
1974,Closed,2012/7/27 16:00:34,Value 5,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
3639,Assign seriousness,2010/12/31 9:29:20,Value 6,Value 1,Value 242,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
3639,Take in charge ticket,2010/12/31 9:36:42,Value 6,Value 1,Value 242,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
3639,Resolve ticket,2010/12/31 9:36:52,Value 6,Value 1,Value 242,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
3639,Closed,2011/2/13 9:31:01,Value 5,Value 1,Value 242,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
419,Assign seriousness,2010/7/2 10:37:18,Value 9,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
419,Take in charge ticket,2010/7/2 13:38:42,Value 2,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
419,Wait,2010/7/2 13:39:52,Value 2,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
419,Take in charge ticket,2010/7/13 15:01:23,Value 2,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
419,Resolve ticket,2010/7/13 15:01:37,Value 2,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
419,Closed,2010/8/4 10:40:46,Value 5,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2242,Assign seriousness,2012/4/23 15:07:23,Value 13,Value 1,Value 58,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2242,Take in charge ticket,2012/4/23 15:34:43,Value 13,Value 1,Value 58,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2242,Resolve ticket,2012/4/27 14:29:08,Value 1,Value 1,Value 58,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2242,Closed,2012/6/8 15:12:23,Value 5,Value 1,Value 58,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1870,Assign seriousness,2012/2/8 15:06:37,Value 1,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
1870,Take in charge ticket,2012/2/8 16:18:27,Value 13,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
1870,Resolve ticket,2012/2/8 17:00:48,Value 13,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
1870,Closed,2012/3/17 15:10:51,Value 5,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
1494,Assign seriousness,2010/9/1 14:54:35,Value 14,Value 1,Value 132,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
1494,Assign seriousness,2010/9/1 15:01:57,Value 2,Value 1,Value 132,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
1494,Take in charge ticket,2010/9/1 16:05:15,Value 11,Value 1,Value 132,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
1494,Resolve ticket,2010/9/1 16:05:28,Value 11,Value 1,Value 132,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
1494,Closed,2010/10/2 15:00:28,Value 5,Value 1,Value 132,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
3356,Assign seriousness,2010/12/6 15:50:40,Value 2,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
3356,Take in charge ticket,2010/12/6 15:51:04,Value 2,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
3356,Resolve ticket,2010/12/7 10:29:39,Value 2,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
3356,Closed,2011/1/13 16:00:49,Value 5,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
340,Assign seriousness,2012/3/6 11:18:20,Value 1,Value 1,Value 89,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
340,Take in charge ticket,2012/3/6 16:53:18,Value 13,Value 1,Value 89,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
340,Wait,2012/3/14 10:55:59,Value 13,Value 1,Value 89,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
340,Resolve ticket,2012/3/15 16:03:14,Value 13,Value 1,Value 89,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
340,Closed,2012/4/27 15:42:52,Value 5,Value 1,Value 89,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2644,Take in charge ticket,2011/12/29 13:37:05,Value 13,Value 1,Value 97,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2644,Resolve ticket,2011/12/29 14:45:50,Value 13,Value 1,Value 97,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2644,Closed,2012/1/31 13:40:29,Value 5,Value 1,Value 97,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3592,Assign seriousness,2013/8/22 12:42:43,Value 1,Value 1,Value 112,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3592,Take in charge ticket,2013/8/22 12:43:15,Value 1,Value 1,Value 112,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3592,Wait,2013/9/9 7:02:23,Value 1,Value 1,Value 112,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3592,Resolve ticket,2013/9/9 10:30:21,Value 1,Value 1,Value 112,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3592,Closed,2013/9/24 10:30:34,Value 3,Value 1,Value 112,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Insert ticket,2010/4/30 6:53:24,Value 15,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Assign seriousness,2010/4/30 6:53:59,Value 15,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Assign seriousness,2010/5/17 12:32:02,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Assign seriousness,2010/6/9 15:52:55,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Take in charge ticket,2010/6/9 15:53:04,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Resolve ticket,2010/6/9 15:53:17,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Closed,2010/6/24 15:53:37,Value 5,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Assign seriousness,2013/4/5 13:31:07,Value 1,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Take in charge ticket,2013/4/22 12:39:15,Value 1,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Resolve ticket,2013/4/22 12:43:23,Value 1,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Closed,2013/5/7 12:43:34,Value 3,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
411,Assign seriousness,2010/11/26 17:02:49,Value 2,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
411,Take in charge ticket,2010/12/7 14:00:09,Value 14,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
411,Resolve ticket,2010/12/10 13:25:46,Value 14,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
411,Closed,2011/1/12 17:01:50,Value 5,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1138,Assign seriousness,2012/1/9 16:23:38,Value 1,Value 1,Value 70,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1138,Take in charge ticket,2012/1/9 16:23:57,Value 1,Value 1,Value 70,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1138,Resolve ticket,2012/1/17 11:49:33,Value 13,Value 1,Value 70,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1138,Closed,2012/3/8 16:30:40,Value 5,Value 1,Value 70,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2537,Assign seriousness,2011/2/10 11:41:08,Value 8,Value 1,Value 88,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2537,Take in charge ticket,2011/2/10 11:41:55,Value 8,Value 1,Value 88,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2537,Resolve ticket,2011/2/14 14:01:29,Value 2,Value 1,Value 88,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2537,Closed,2011/4/3 7:12:00,Value 5,Value 1,Value 88,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2083,Assign seriousness,2012/12/4 15:33:24,Value 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2083,Take in charge ticket,2012/12/5 8:10:29,Value 2,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2083,Resolve ticket,2013/1/9 10:16:39,Value 4,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2083,Closed,2013/1/24 10:16:58,Value 3,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
374,Assign seriousness,2012/12/4 13:37:06,Value 1,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
374,Take in charge ticket,2012/12/6 9:50:44,Value 4,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
374,Wait,2012/12/6 10:52:18,Value 1,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
374,Resolve ticket,2013/1/11 16:56:00,Value 1,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
374,Closed,2013/1/26 16:56:20,Value 3,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2245,Assign seriousness,2013/5/9 7:27:51,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Take in charge ticket,2013/5/9 7:44:43,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Wait,2013/5/9 7:52:26,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Resolve ticket,2013/6/3 8:09:55,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Closed,2013/6/18 8:10:08,Value 3,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1602,Assign seriousness,2012/3/21 14:50:05,Value 1,Value 1,Value 3,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1602,Take in charge ticket,2012/3/22 13:24:03,Value 13,Value 1,Value 3,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1602,Resolve ticket,2012/3/27 9:59:27,Value 13,Value 1,Value 3,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1602,Closed,2012/4/21 14:00:28,Value 5,Value 1,Value 3,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
829,Assign seriousness,2012/7/31 14:35:02,Value 1,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
829,Take in charge ticket,2012/7/31 15:24:57,Value 13,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
829,Resolve ticket,2012/8/2 12:08:43,Value 13,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
829,Closed,2012/9/7 14:41:50,Value 5,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
3047,Assign seriousness,2011/9/21 8:19:32,Value 1,Value 1,Value 204,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3047,Take in charge ticket,2011/9/21 8:20:25,Value 13,Value 1,Value 204,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3047,Resolve ticket,2011/9/21 14:34:42,Value 13,Value 1,Value 204,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3047,Closed,2011/10/22 8:20:23,Value 5,Value 1,Value 204,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3292,Assign seriousness,2010/8/2 14:11:07,Value 9,Value 1,Value 377,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3292,Take in charge ticket,2010/8/2 15:12:28,Value 9,Value 1,Value 377,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3292,Wait,2010/8/2 15:14:30,Value 9,Value 1,Value 377,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3292,Take in charge ticket,2010/8/3 7:58:31,Value 9,Value 1,Value 377,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3292,Resolve ticket,2010/8/3 7:59:14,Value 9,Value 1,Value 377,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3292,Closed,2010/9/2 14:20:17,Value 5,Value 1,Value 377,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
605,Assign seriousness,2011/4/4 13:06:22,Value 8,Value 1,Value 166,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
605,Take in charge ticket,2011/4/4 13:06:59,Value 8,Value 1,Value 166,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
605,Resolve ticket,2011/4/4 14:28:46,Value 13,Value 1,Value 166,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
605,Closed,2011/5/5 13:10:38,Value 5,Value 1,Value 166,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3650,Assign seriousness,2011/7/1 14:03:56,Value 9,Value 1,Value 382,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3650,Take in charge ticket,2011/7/6 13:35:44,Value 13,Value 1,Value 382,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3650,Wait,2011/7/6 14:13:26,Value 13,Value 1,Value 382,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3650,Resolve ticket,2011/7/11 13:05:39,Value 13,Value 1,Value 382,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3650,Closed,2011/8/6 13:00:34,Value 5,Value 1,Value 382,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1604,Assign seriousness,2013/2/6 14:59:57,Value 1,Value 1,Value 97,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1604,Take in charge ticket,2013/2/22 8:23:35,Value 1,Value 1,Value 97,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
