case,activity,timestamp,resource,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9
3049,Take in charge ticket,2011/6/7 12:43:38,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Resolve ticket,2011/6/13 14:25:51,Value 15,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Closed,2011/6/28 14:26:14,Value 5,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2686,Take in charge ticket,2013/5/20 14:35:31,Value 14,Value 1,Value 32,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2686,Resolve ticket,2013/6/24 13:07:54,Value 2,Value 1,Value 32,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2686,Closed,2013/7/9 13:08:13,Value 3,Value 1,Value 32,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
3567,Assign seriousness,2013/11/25 17:10:08,Value 18,Value 1,Value 106,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
3567,Take in charge ticket,2013/11/26 9:50:40,Value 18,Value 1,Value 106,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
3567,Wait,2013/11/27 11:04:25,Value 18,Value 1,Value 106,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
3567,Resolve ticket,2013/12/16 10:04:47,Value 18,Value 1,Value 106,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
3567,Closed,2013/12/31 10:05:04,Value 3,Value 1,Value 106,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
4142,Assign seriousness,2012/6/27 8:07:48,Value 1,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Take in charge ticket,2012/6/28 7:31:56,Value 1,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Wait,2012/7/2 7:03:25,Value 1,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Resolve ticket,2012/7/11 10:24:38,Value 2,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
4142,Closed,2012/8/10 12:30:34,Value 5,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
1351,Insert ticket,2010/6/10 7:24:28,Value 5,Value 1,Value 35,Value 3,Value 1,Value 3,Value 4,Value 2,Value 1,Value 2
1351,Assign seriousness,2010/6/10 11:14:25,Value 12,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
1351,Take in charge ticket,2010/6/17 12:41:37,Value 2,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
1351,Resolve ticket,2010/7/1 9:20:34,Value 12,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
1351,Closed,2010/7/31 9:21:01,Value 5,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
250,Assign seriousness,2011/2/22 17:06:59,Value 13,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
250,Take in charge ticket,2011/2/22 17:07:16,Value 13,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
250,Resolve ticket,2011/2/28 10:43:36,Value 16,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
250,Closed,2011/4/7 16:00:44,Value 5,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
1870,Assign seriousness,2012/2/8 15:06:37,Value 1,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
1870,Take in charge ticket,2012/2/8 16:18:27,Value 13,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
1870,Resolve ticket,2012/2/8 17:00:48,Value 13,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
1870,Closed,2012/3/17 15:10:51,Value 5,Value 1,Value 143,Value 6,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
4397,Assign seriousness,2012/2/3 8:38:06,Value 2,Value 1,Value 5,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
4397,Take in charge ticket,2012/2/3 8:38:15,Value 2,Value 1,Value 5,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
4397,Resolve ticket,2012/2/3 10:48:08,Value 2,Value 1,Value 5,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
4397,Closed,2012/3/14 8:40:26,Value 5,Value 1,Value 5,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
260,Assign seriousness,2010/10/18 13:15:06,Value 14,Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
260,Assign seriousness,2010/10/18 13:29:40,Value 14,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
260,Take in charge ticket,2010/10/19 10:17:06,Value 14,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
260,Resolve ticket,2010/11/15 13:47:26,Value 14,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
260,Closed,2010/11/30 13:47:45,Value 5,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2434,Assign seriousness,2011/10/6 14:37:06,Value 1,Value 1,Value 18,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2434,Take in charge ticket,2011/10/6 14:46:24,Value 4,Value 1,Value 18,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2434,Resolve ticket,2011/10/14 15:46:18,Value 4,Value 1,Value 18,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2434,Closed,2011/11/19 15:40:18,Value 5,Value 1,Value 18,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
3356,Assign seriousness,2010/12/6 15:50:40,Value 2,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
3356,Take in charge ticket,2010/12/6 15:51:04,Value 2,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
3356,Resolve ticket,2010/12/7 10:29:39,Value 2,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
3356,Closed,2011/1/13 16:00:49,Value 5,Value 1,Value 143,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
1751,Assign seriousness,2012/7/17 12:47:20,Value 1,Value 1,Value 275,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1751,Take in charge ticket,2012/7/17 13:49:31,Value 13,Value 1,Value 275,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1751,Resolve ticket,2012/7/18 12:44:16,Value 13,Value 1,Value 275,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1751,Closed,2012/9/1 12:50:16,Value 5,Value 1,Value 275,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2644,Take in charge ticket,2011/12/29 13:37:05,Value 13,Value 1,Value 97,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2644,Resolve ticket,2011/12/29 14:45:50,Value 13,Value 1,Value 97,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2644,Closed,2012/1/31 13:40:29,Value 5,Value 1,Value 97,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Insert ticket,2010/4/30 6:53:24,Value 15,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Assign seriousness,2010/4/30 6:53:59,Value 15,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Assign seriousness,2010/5/17 12:32:02,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Assign seriousness,2010/6/9 15:52:55,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Take in charge ticket,2010/6/9 15:53:04,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Resolve ticket,2010/6/9 15:53:17,Value 2,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3886,Closed,2010/6/24 15:53:37,Value 5,Value 1,Value 256,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Assign seriousness,2013/4/5 13:31:07,Value 1,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Take in charge ticket,2013/4/22 12:39:15,Value 1,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Resolve ticket,2013/4/22 12:43:23,Value 1,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2215,Closed,2013/5/7 12:43:34,Value 3,Value 1,Value 183,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2948,Assign seriousness,2011/12/1 13:08:57,Value 1,Value 1,Value 317,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2948,Take in charge ticket,2011/12/2 16:18:20,Value 13,Value 1,Value 317,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2948,Resolve ticket,2011/12/9 11:00:58,Value 13,Value 1,Value 317,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2948,Closed,2012/1/3 13:10:17,Value 5,Value 1,Value 317,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2083,Assign seriousness,2012/12/4 15:33:24,Value 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2083,Take in charge ticket,2012/12/5 8:10:29,Value 2,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2083,Resolve ticket,2013/1/9 10:16:39,Value 4,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2083,Closed,2013/1/24 10:16:58,Value 3,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2245,Assign seriousness,2013/5/9 7:27:51,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Take in charge ticket,2013/5/9 7:44:43,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Wait,2013/5/9 7:52:26,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Resolve ticket,2013/6/3 8:09:55,Value 1,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2245,Closed,2013/6/18 8:10:08,Value 3,Value 1,Value 22,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
829,Assign seriousness,2012/7/31 14:35:02,Value 1,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
829,Take in charge ticket,2012/7/31 15:24:57,Value 13,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
829,Resolve ticket,2012/8/2 12:08:43,Value 13,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
829,Closed,2012/9/7 14:41:50,Value 5,Value 1,Value 127,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
513,Assign seriousness,2011/3/30 10:44:58,Value 8,Value 1,Value 184,Value 4,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
513,Take in charge ticket,2011/3/30 10:45:26,Value 8,Value 1,Value 184,Value 4,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
513,Resolve ticket,2011/4/4 8:35:45,Value 8,Value 1,Value 184,Value 4,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
513,Closed,2011/5/6 10:50:29,Value 5,Value 1,Value 184,Value 4,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2802,Assign seriousness,2011/2/15 9:38:24,Value 8,Value 1,Value 358,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2802,Take in charge ticket,2011/2/15 9:39:26,Value 8,Value 1,Value 358,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2802,Resolve ticket,2011/2/15 10:48:30,Value 9,Value 1,Value 358,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2802,Closed,2011/3/18 9:40:22,Value 5,Value 1,Value 358,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1084,Assign seriousness,2012/4/24 8:13:17,Value 2,Value 1,Value 260,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1084,Take in charge ticket,2012/5/23 15:46:12,Value 4,Value 1,Value 260,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1084,Resolve ticket,2012/5/30 7:20:16,Value 4,Value 1,Value 260,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
1084,Closed,2012/6/14 7:20:36,Value 5,Value 1,Value 260,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
761,Assign seriousness,2011/8/12 14:34:43,Value 9,Value 1,Value 163,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
761,Take in charge ticket,2011/8/29 10:16:10,Value 2,Value 1,Value 163,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
761,Resolve ticket,2011/8/29 10:17:20,Value 2,Value 1,Value 163,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
761,Closed,2011/9/29 14:40:29,Value 5,Value 1,Value 163,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3920,Assign seriousness,2011/5/13 13:44:44,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3920,Take in charge ticket,2011/5/13 13:45:22,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3920,Resolve ticket,2011/6/1 13:17:20,Value 2,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3920,Closed,2011/7/1 13:17:55,Value 5,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1480,Assign seriousness,2011/10/6 14:29:43,Value 4,Value 1,Value 17,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1480,Take in charge ticket,2011/10/6 14:32:23,Value 9,Value 1,Value 17,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1480,Resolve ticket,2011/10/10 9:45:29,Value 15,Value 1,Value 17,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1480,Closed,2011/11/8 15:30:46,Value 5,Value 1,Value 17,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
154,Assign seriousness,2013/1/28 10:41:57,Value 4,Value 1,Value 90,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
154,Take in charge ticket,2013/1/29 13:23:39,Value 4,Value 1,Value 90,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
154,Wait,2013/2/12 9:56:04,Value 4,Value 1,Value 90,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
154,Resolve ticket,2013/2/20 9:07:48,Value 4,Value 1,Value 90,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
154,Closed,2013/3/7 9:08:09,Value 3,Value 1,Value 90,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
204,Assign seriousness,2011/10/31 15:30:39,Value 1,Value 1,Value 108,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
204,Take in charge ticket,2011/10/31 15:30:50,Value 1,Value 1,Value 108,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
204,Resolve ticket,2011/11/2 13:41:11,Value 1,Value 1,Value 108,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
204,Closed,2011/12/14 15:40:32,Value 5,Value 1,Value 108,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2088,Assign seriousness,2010/2/4 10:37:45,Value 2,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
2088,Take in charge ticket,2010/2/4 11:01:28,Value 2,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
2088,Create SW anomaly,2010/2/4 11:01:35,Value 2,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
2088,Resolve ticket,2010/3/16 15:08:40,Value 2,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
2088,Closed,2010/3/31 14:08:53,Value 5,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
1033,Assign seriousness,2011/11/10 8:25:05,Value 1,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1033,Take in charge ticket,2011/11/18 11:29:26,Value 2,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1033,Wait,2011/11/23 16:07:21,Value 2,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1033,Resolve ticket,2011/12/12 9:40:33,Value 2,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1033,Closed,2011/12/29 11:10:47,Value 5,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3523,Assign seriousness,2010/8/25 8:03:47,Value 19,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
3523,Assign seriousness,2010/8/26 8:16:15,Value 2,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
3523,Take in charge ticket,2010/8/27 14:58:50,Value 16,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
3523,Resolve ticket,2010/9/21 12:13:56,Value 11,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
3523,Closed,2010/10/21 12:14:16,Value 5,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
2312,Assign seriousness,2011/3/23 15:46:29,Value 8,Value 1,Value 58,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2312,Take in charge ticket,2011/3/23 15:51:12,Value 8,Value 1,Value 58,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2312,Resolve ticket,2011/3/29 10:09:33,Value 13,Value 1,Value 58,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2312,Closed,2011/4/23 14:50:51,Value 5,Value 1,Value 58,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2754,Assign seriousness,2011/4/5 8:48:28,Value 8,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2754,Take in charge ticket,2011/4/5 8:48:49,Value 8,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2754,Resolve ticket,2011/4/6 9:31:40,Value 13,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2754,Closed,2011/5/6 8:50:21,Value 5,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2389,Insert ticket,2010/6/22 9:02:02,Value 6,Value 1,Value 220,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
